line	raw_symbol	demangled
247392	_Z14PointInPolygoniiRSt6vectorI7wxPointSaIS0_EE	PointInPolygon(int, int, std::vector<wxPoint, std::allocator<wxPoint> >&)
247731	_Z18PointInPolygonListiiR12TPolygonList	PointInPolygonList(int, int, TPolygonList&)
247863	_Z16LineInPolygonSetddddR12TPolygonList	LineInPolygonSet(double, double, double, double, TPolygonList&)
248161	_Z8calcDistdddd	calcDist(double, double, double, double)
248191	_Z3dotRK5pointS1_	dot(point const&, point const&)
248210	_Z6_pointN3p2t5PointE	_point(p2t::Point)
248241	_Z21closesPointOnTrianglePN3p2t5PointES1_S1_RK7wxPoint	closesPointOnTriangle(p2t::Point*, p2t::Point*, p2t::Point*, wxPoint const&)
248616	_Z3LenRN3p2t5PointE	Len(p2t::Point&)
248646	_Z9NormalizeRN3p2t5PointEd	Normalize(p2t::Point&, double)
248667	_Z8DistanceRKN3p2t5PointES2_	Distance(p2t::Point const&, p2t::Point const&)
248703	_Z17LinePointDistanceRKN3p2t5PointES2_S2_	LinePointDistance(p2t::Point const&, p2t::Point const&, p2t::Point const&)
248830	_Z14LinePointPointRKN3p2t5PointES2_S2_	LinePointPoint(p2t::Point const&, p2t::Point const&, p2t::Point const&)
248964	_Z23PointInTriangleTolerantRN3p2t8TriangleERK7wxPoint	PointInTriangleTolerant(p2t::Triangle&, wxPoint const&)
249196	_Z29circleLineSegmentIntersectionRKN3glm5tvec2IfLNS_9precisionE0EEES4_S4_dRS2_S5_	circleLineSegmentIntersection(glm::tvec2<float, (glm::precision)0> const&, glm::tvec2<float, (glm::precision)0> const&, glm::tvec2<float, (glm::precision)0> const&, double, glm::tvec2<float, (glm::precision)0>&, glm::tvec2<float, (glm::precision)0>&)
249467	_Z6toVec2PN3p2t5PointE	toVec2(p2t::Point*)
249488	_Z6toVec2RK7wxPoint	toVec2(wxPoint const&)
249507	_Z9angleDistii	angleDist(int, int)
251746	_Z12shortestPathddddR12TPolygonListRSt6vectorI7wxPointSaIS2_EE	shortestPath(double, double, double, double, TPolygonList&, std::vector<wxPoint, std::allocator<wxPoint> >&)
256618	_Z7argsortIN9__gnu_cxx17__normal_iteratorIPiSt6vectorIiSaIiEEEEEvT_S7_RS3_ImSaImEE	void argsort<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, std::vector<unsigned long, std::allocator<unsigned long> >&)
256924	_GLOBAL__sub_I__ZN11TGWaySystem17destinationForCmpE	_GLOBAL__sub_I__ZN11TGWaySystem17destinationForCmpE
258136	_Z34ix86_override_options_after_changev_17	ix86_override_options_after_change()
259706	_Z34ix86_override_options_after_changev_18	ix86_override_options_after_change()
260120	_Z34ix86_override_options_after_changev_19	ix86_override_options_after_change()
260645	_Z34ix86_override_options_after_changev_20	ix86_override_options_after_change()
261299	_Z34ix86_override_options_after_changev_21	ix86_override_options_after_change()
261646	_Z34ix86_override_options_after_changev_22	ix86_override_options_after_change()
261667	Lpcre_version	Lpcre_version
261687	do_named_subpatterns	do_named_subpatterns
261799	compile_regex_0	compile_regex_0
262025	check_subject_part_6	check_subject_part_6
262116	Lpcre_maketables	Lpcre_maketables
262154	Lpcre_tostring	Lpcre_tostring
262225	Lpcre_gc	Lpcre_gc
262299	algf_new	algf_new
262515	chartables_tostring	chartables_tostring
262588	chartables_gc	chartables_gc
262661	finish_generic_find_isra_11	finish_generic_find_isra_11
262853	Lpcre_dfa_exec	Lpcre_dfa_exec
263105	generic_find_method	generic_find_method
263492	algm_match	algm_match
263505	algm_find	algm_find
263518	algm_tfind	algm_tfind
263531	algm_exec	algm_exec
263544	gmatch_iter	gmatch_iter
263760	checkarg_gmatch_split	checkarg_gmatch_split
264061	algf_split	algf_split
264125	algf_gmatch	algf_gmatch
264189	generic_find_func	generic_find_func
264573	algf_find	algf_find
264586	algf_match	algf_match
264599	algf_gsub	algf_gsub
265691	split_iter	split_iter
265928	luaopen_rex_pcre	luaopen_rex_pcre
266104	_Z34ix86_override_options_after_changev_23	ix86_override_options_after_change()
266125	lcurl_multi_init	lcurl_multi_init
