original_file	assert_count	distinct_functions	sample_functions
/home/simon/Documents/jenkins/branchPillars/src/mmedialib/audiobusses.cpp	1	1	soundengine::AudioBufferFactory::FreeBuffer(TMemoryFile*)
/home/simon/Documents/jenkins/branchPillars/src/mmedialib/sound.cpp	1	1	TSoundInterface::AdjustToGeneralVolume(int, TSoundTypeEnum) const
/home/simon/Documents/jenkins/branchPillars/src/mmedialib/soundBase.cpp	1	1	TSoundBase::StartSoundFade(TFadeEnum, int, bool)
/home/simon/Documents/jenkins/branchPillars/src/vscommon/canimation.cpp	1	1	TCAnimation::GetCurrentSpritePosition() const
/home/simon/Documents/jenkins/branchPillars/src/vscommon/cfont.cpp	6	3	TCFont::GetTextStartPos(TextAlignmentEnum, int, int, int) | TCFont::PrintText(wxString const&, TextAlignmentEnum, wxPoint const&, float, int, GLCharBuffer*) | TCFont::PrintTextLines(std::list<wxString, std::allocator<wxString> > const&, std::vector<int, std::allocator<int> > const&, TextAlignmentEnum, wxPoint const&, float, int, bool, std::vector<GLCharBuffer*, std::allocator<GLCharBuffer*> >*)
/home/simon/Documents/jenkins/branchPillars/src/vscommon/fontManager.cpp	1	1	TFontManager::Signal(TSignalData const&, TSignalData&)
/home/simon/Documents/jenkins/branchPillars/src/vscommon/geometry.cpp	2	2	GetBoundingBox(std::vector<wxPoint, std::allocator<wxPoint> > const&) | GetPointFromPolygon(TPolygonList const&, int, int)
/home/simon/Documents/jenkins/branchPillars/src/vscommon/objAccess.cpp	1	1	GetTypeGroup(eVisionaireTable)
/home/simon/Documents/jenkins/branchPillars/src/vscommon/scripting/argument.cpp	1	1	TArgument::SetType(TArgType)
/home/simon/Documents/jenkins/branchPillars/src/vscommon/scripting/argumentParser.cpp	1	1	TArgParser::FindFlagArgument(wxString) const
/home/simon/Documents/jenkins/branchPillars/src/vscommon/scripting/argumentSyntax.cpp	2	2	TArgSyntax::AddArg(TArgType, bool) | TArgSyntax::AddFlag(wxString const&, wxString const&, TArgType, bool)
/home/simon/Documents/jenkins/branchPillars/src/vscommon/scripting/command.cpp	3	3	CloseOpenedCmdGroup() | InitCommands(TVisionaireGame*, wxString const&, wxString, wxString) | TCommandQueue::AddCommand(TCommand*)
/home/simon/Documents/jenkins/branchPillars/src/vscommon/scripting/visLua.cpp	3	1	LuaExecuteFunction(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<TArgument*, std::allocator<TArgument*> >&, std::vector<TArgument*, std::allocator<TArgument*> >&)
/home/simon/Documents/jenkins/branchPillars/src/vscommon/scripting/visionaireobjectLua.cpp	2	2	getFieldFromString(LuaVisionaireObject*, char const*) | luaopen_ExportTables(lua_State*)
/home/simon/Documents/jenkins/branchPillars/src/vsplayer/actionGame.cpp	7	3	TGAction::DeleteFinishedActions() | TGAction::Execute(bool, t_SkipCutsceneInfo*) | TGAction::operator=(TVisObjRef&)
/home/simon/Documents/jenkins/branchPillars/src/vsplayer/characterManaged.cpp	1	1	TMCharacter::SetAnimation(TGAnimation*)
/home/simon/Documents/jenkins/branchPillars/src/vsplayer/console.cpp	1	1	TConsole::ParseObjectName(int)
/home/simon/Documents/jenkins/branchPillars/src/vsplayer/control/cursorControl.cpp	1	1	TCursorControl::AnimationStopped(TGAnimation*)
/home/simon/Documents/jenkins/branchPillars/src/vsplayer/control/gameControl.cpp	2	2	TGameControl::HandleMouseUp(wxPoint const&, TMouseMessageEnum) | TGameControl::SavegameExists(int)
/home/simon/Documents/jenkins/branchPillars/src/vsplayer/control/gameController.cpp	1	1	TGameController::RemoveGameController(int)
/home/simon/Documents/jenkins/branchPillars/src/vsplayer/control/loadingControl.cpp	1	1	TLoadingControl::UpdateStatus(int, int)
/home/simon/Documents/jenkins/branchPillars/src/vsplayer/interfaceGame.cpp	1	1	TGInterface::Draw()
/home/simon/Documents/jenkins/branchPillars/src/vsplayer/main/mainSDL.cpp	2	1	Init(wxString const&, wxSize&, wxSize&, int, char**, wxCmdLineParser&)
/home/simon/Documents/jenkins/branchPillars/src/vsplayer/managedObject.cpp	1	1	TManagedObject::SetText(TGText*)
/home/simon/Documents/jenkins/branchPillars/src/vsplayer/objectManaged.cpp	1	1	TMObject::SetActive(bool)
/home/simon/Documents/jenkins/branchPillars/src/vsplayer/scripting/scriptingutils.cpp	4	3	LoadGlobalScriptVariables(TVisionaireGame&) | SaveGlobalScriptVariables(TVisionaireGame&) | TraverseList(TVList const&, int, TVisionaireGame&)
/home/simon/Documents/jenkins/branchPillars/src/vstables/action_part.cpp	1	1	TTActionPart::GetNameInList(TVisionaireObject const*)
/home/simon/Documents/jenkins/branchPillars/src/vstables/text.cpp	5	5	TSText::CalculateCurrentText() | TSText::SetTextIntern(TextOutputEnum, int) | TTText::GetTextLanguage() const | TTText::GetTextLanguage(int) const | TTText::GetTextLanguageOrCreate(int)
/home/simon/Documents/jenkins/branchPillars/src/vstables/visionaireClipboard.cpp	6	3	TVisionaireClipboard::PasteFromClipboard(TVisionaire&, TVisObjRef&, int, TVList&) const | TVisionaireClipboard::RemoveFromUndo(TId const&) | TVisionaireClipboard::RestoreFromUndo(TId const&, TVisionaire*)
/home/simon/Documents/jenkins/branchPillars/src/vstables/visionaireGame.cpp	12	2	TVisionaireGame::LoadDataGame(wxFileName const&, wxString const&, TLoadingTypeEnum, bool, TSignalSlot*, EventHandler*) | TVisionaireGame::UpdateVersion(int, bool)
